LAT,LON,YEAR,DOY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,T2M_RANGE
-33.75,17.25,2023,2,18.71,17.76,18.24,17.76,12.62,94.16,0.08,100.95,8.78,5.07,157.26,11.15,5.96,156.86,0.84
-33.75,17.75,2023,2,18.88,16.27,17.58,17.46,11.53,86.06,0.07,100.77,6.79,5.89,161.34,9.3,7.56,157.88,2.89
-33.75,18.25,2023,2,21.44,14.53,17.99,20.29,10.41,68.32,0.06,100.13,4.44,6.59,170.48,6.47,9.39,165.66,8.18
-33.75,18.75,2023,2,26.73,13.29,20.01,27.48,9.83,49.72,0.03,98.49,4,6.3,181,5.13,8.31,189.78,16.44
-33.75,19.25,2023,2,26.15,12.85,19.5,28.01,9.97,52.79,0.07,95.18,3.83,5.57,152.4,4.68,6.56,157.56,20.39
-33.75,19.75,2023,2,25.66,13.26,19.46,28.06,10.36,56.39,0.09,94.13,4.07,5.24,133.89,4.91,5.58,134.72,21.73
-33.75,20.25,2023,2,25.32,13.98,19.65,28.13,10.8,59.13,0.11,94.25,4.22,5.49,123.09,5.02,5.38,121.49,21.19
-33.75,20.75,2023,2,25.14,14.66,19.9,28.38,11.17,60.76,0.17,94.8,4.1,6.31,118.21,4.72,5.97,115.84,19.95
-33.75,21.25,2023,2,25.09,15.16,20.12,28.61,11.41,62.19,0.26,95.39,3.84,7.46,118.06,4.22,7.38,113.56,19.59
-33.75,21.75,2023,2,25.01,15.36,20.19,28.19,11.54,63.21,0.23,95.73,3.66,6.87,125.84,4.17,7.15,123.96,18.55
-33.25,16.75,2023,2,19.14,18.24,18.69,18.57,13.01,94.46,0.14,100.96,8.37,5.71,166.47,10.32,6.81,166.03,0.94
-33.25,17.25,2023,2,17.99,17.14,17.56,17.01,12.14,94.71,0.15,100.9,6.84,6.84,167.03,9.03,8.42,166.53,1
-33.25,17.75,2023,2,18.83,15.76,17.3,17.83,11.16,84.18,0.14,100.68,4.77,6.57,182.17,6.65,9.04,179.11,3.62
-33.25,18.25,2023,2,22.53,14.09,18.32,22.35,10.16,63.14,0.1,99.95,3.19,5.14,206.92,4.4,8.15,203.38,9.6
-33.25,18.75,2023,2,28.34,11.76,20.05,30.12,8.94,41.81,0.02,98.21,3.8,4.38,217,4.8,6.11,226.5,17.82
-33.25,19.25,2023,2,26.62,10.1,18.37,28.58,8.55,44.04,0.02,93.18,3.66,4.76,193.1,4.54,5.8,195.35,20.32
-33.25,19.75,2023,2,26.37,10.44,18.41,28.61,8.89,47.09,0.01,91.79,3.83,4.48,177.06,4.9,5.09,177.49,21.42
