LAT,LON,YEAR,DOY,T2M,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
-30.75,30.25,2021,2,18.54,19.76,3.81,10.57,77.89,0.92,97.98,4.67,7.7,2.12,5.58,80.66,5.75,9.38,2.62,6.76,79.57
-30.75,30.75,2021,2,21.7,23.99,1.78,11.35,71.01,0.62,101.84,6.01,9.42,3.67,5.75,91.99,6.86,11.16,3.93,7.23,91.31
-30.75,31.25,2021,2,22.46,25.51,1.6,11.44,68.56,0.07,102.46,6.33,9.7,3.97,5.73,98.84,6.73,10.71,4.08,6.63,98.28
-30.75,31.75,2021,2,22.32,25.35,1.46,11.35,68.81,0.02,102.48,6.16,8.78,3.98,4.79,106.67,6.54,9.57,4.11,5.45,106.03
-30.75,32.25,2021,2,22.27,25.38,1.31,11.38,69.23,0.01,102.48,6.2,8.84,3.89,4.94,113.8,6.58,9.57,4.02,5.55,113.14
-30.75,32.75,2021,2,22.3,25.63,1.21,11.5,69.81,0.02,102.48,6.43,9.31,4.01,5.3,120.24,6.82,10.09,4.14,5.95,119.58
-30.75,33.25,2021,2,22.39,26.02,1.15,11.68,70.5,0.02,102.48,6.79,9.84,4.39,5.44,125.54,7.21,10.69,4.53,6.16,124.89
-30.25,29.75,2021,2,14.44,14.88,8.03,9.41,82.51,1.24,89.18,2.65,4.41,1.01,3.4,85.16,3.64,5.64,1.36,4.28,83.39
-30.25,30.25,2021,2,16.37,16.91,5.11,10.14,82.91,1.35,94.65,2.97,5.02,1.16,3.86,84.17,4.12,6.82,1.54,5.29,83.4
-30.25,30.75,2021,2,19.73,21.04,2.89,10.96,76.2,1.04,99.76,4.52,7.07,2.45,4.62,99.28,5.7,8.96,2.94,6.02,98.34
-30.25,31.25,2021,2,22.67,25.54,1.41,11.6,68.5,0.21,102.36,6.1,9.48,3.53,5.95,104.88,6.62,10.62,3.59,7.03,104.31
-30.25,31.75,2021,2,22.8,25.93,1.34,11.69,68.8,0.06,102.44,6.1,9.22,3.46,5.76,112.52,6.5,10.05,3.53,6.51,111.94
-30.25,32.25,2021,2,22.86,26.19,1.22,11.85,69.46,0.01,102.46,6.28,9.56,3.65,5.91,119.63,6.66,10.38,3.74,6.64,119.02
-30.25,32.75,2021,2,22.93,26.46,1.14,12.03,70.22,0.01,102.45,6.61,10.11,4.08,6.03,125.52,7.03,11.02,4.2,6.82,124.91
-30.25,33.25,2021,2,23.04,26.79,1.09,12.23,70.97,0.01,102.45,7.07,10.63,4.67,5.96,129.68,7.52,11.6,4.83,6.78,129.09
-29.75,29.75,2021,2,13.4,14,8.64,9.12,82.19,1.4,85.73,2.86,4.72,0.96,3.75,123.21,3.85,5.97,1.14,4.84,124.17
-29.75,30.25,2021,2,15.03,15.5,6.74,9.68,83.38,1.2,91.42,2.61,4.28,1.07,3.21,107.52,3.74,5.92,1.42,4.5,105.86
-29.75,30.75,2021,2,17.82,18.6,4.64,10.4,79.44,1,96.78,3.07,4.72,1.69,3.03,103.35,4.2,6.28,2.2,4.09,101.08
-29.75,31.25,2021,2,22.06,24.28,1.99,11.23,68.59,0.32,101.67,5.44,8.2,3.07,5.13,113.38,6.26,9.95,3.01,6.94,112.66
-29.75,31.75,2021,2,22.95,25.79,1.2,11.79,68.59,0.14,102.29,5.9,9.52,3.14,6.39,119.8,6.37,10.61,3.17,7.44,119.31
-29.75,32.25,2021,2,23.26,26.44,0.97,12.13,69.4,0.04,102.44,6.32,10.27,3.63,6.64,126.32,6.72,11.24,3.73,7.51,125.84
-29.75,32.75,2021,2,23.38,26.75,0.97,12.39,70.39,0.01,102.43,6.81,10.81,4.32,6.49,131.31,7.26,11.86,4.48,7.38,130.81
-29.75,33.25,2021,2,23.49,27.03,1,12.62,71.24,0.01,102.41,7.38,11.31,5.06,6.25,134.1,7.89,12.43,5.27,7.15,133.61
-29.25,29.75,2021,2,12.93,13.93,7.56,9.04,82.98,2.31,84.87,3.32,5.37,1.48,3.89,175.49,4.19,6.55,1.74,4.81,179.9
-29.25,30.25,2021,2,14.5,15.31,7.17,9.42,82.52,1.34,89.7,2.99,4.92,1.44,3.48,168.84,4.02,6.46,1.59,4.87,166.62
-29.25,30.75,2021,2,16.53,17.27,6.1,9.86,79.78,1.1,94,2.38,3.92,1.17,2.75,148.85,3.45,5.66,1.35,4.31,146.01
-29.25,31.25,2021,2,20.01,21.35,4.38,10.25,69.78,0.38,99.08,4.03,5.96,2.38,3.59,120.88,5.16,8.41,2.3,6.12,120.16
-29.25,31.75,2021,2,22.33,24.37,2.03,11.23,67.48,0.22,101.59,5.18,8.75,2.87,5.89,128.25,6.03,10.65,2.98,7.67,127.98
-29.25,32.25,2021,2,23.32,25.95,1.06,12.06,68.69,0.1,102.33,6.23,10.59,3.64,6.95,134.56,6.84,12.01,3.81,8.2,134.25
-29.25,32.75,2021,2,23.67,26.7,0.84,12.63,70.47,0.06,102.4,7.1,11.56,4.55,7.01,138.19,7.63,12.78,4.76,8.02,137.79
-29.25,33.25,2021,2,23.83,27.1,0.88,12.96,71.56,0.07,102.38,7.8,11.96,5.44,6.52,139.02,8.39,13.23,5.73,7.5,138.62
-28.75,29.75,2021,2,13.84,14.97,6.54,9.23,82.26,4.21,87.27,2.95,4.92,1.58,3.35,168.87,3.78,6.28,1.99,4.29,171.21
-28.75,30.25,2021,2,14.73,15.8,6.72,9.38,81.19,2.26,89.76,2.94,5.3,1.29,4.02,174.56,3.92,7.01,1.31,5.7,173.32
-28.75,30.75,2021,2,15.63,16.64,6.59,9.54,79.88,1.8,91.89,2.78,5.35,0.84,4.51,160.88,3.81,7.3,0.82,6.48,159.41
-28.75,31.25,2021,2,17.71,18.63,6.36,9.61,73.5,0.55,95.64,3.28,5.35,1.63,3.72,132.25,4.5,7.86,1.59,6.27,132.03
-28.75,31.75,2021,2,21.07,22.27,4.54,10.35,66.82,0.3,100.13,4.52,7.2,2.01,5.19,137.48,5.86,10.02,2.41,7.6,137.36
-28.75,32.25,2021,2,22.97,25.01,2.23,11.63,67.44,0.28,101.88,6.19,10.05,2.94,7.11,143.28,7.15,12.17,3.31,8.85,143.02
-28.75,32.75,2021,2,23.85,26.57,0.91,12.7,70.09,0.35,102.32,7.53,11.91,4.21,7.71,145.52,8.22,13.44,4.5,8.94,145.14
-28.75,33.25,2021,2,24.13,27.14,0.74,13.27,71.96,0.36,102.34,8.34,12.4,5.52,6.88,143.81,9.03,13.82,5.86,7.96,143.44
-28.25,29.75,2021,2,13.77,14.98,6.6,9.03,80.97,5.26,87.39,3.53,5.9,1.16,4.74,128.61,4.43,7.54,1.71,5.83,127.56
-28.25,30.25,2021,2,14.65,15.94,7.02,9.15,79.26,3.09,89.13,3.39,5.85,1.18,4.68,128,4.31,7.7,1.53,6.17,126.79
-28.25,30.75,2021,2,15.18,16.43,7.36,9.24,78.59,2.29,90.37,3.61,6.36,1.21,5.15,121.41,4.58,8.39,1.58,6.81,120.74
-28.25,31.25,2021,2,16.78,17.95,7.62,9.46,75.44,0.69,93.48,3.92,6.4,1.26,5.14,135.19,5.05,8.71,1.62,7.09,135.31
-28.25,31.75,2021,2,19.79,20.7,7.27,9.95,68.91,0.46,98.21,4.63,6.69,0.9,5.79,146.04,6.14,9.5,1.37,8.13,146.09
-28.25,32.25,2021,2,22.37,24.01,4.16,11.22,67.19,0.77,100.97,6.38,9.31,1.95,7.36,151.77,7.69,11.77,2.47,9.3,151.63
-28.25,32.75,2021,2,23.91,26.3,1.53,12.6,69.16,1.02,102.13,8,11.62,3.73,7.9,151.82,8.99,13.52,4.18,9.34,151.51
